-3.9809,3.2191
-3.9436,1.9631
-3.9062,1.9584
-3.8688,1.9437
-3.8315,1.9335
-3.7941,1.9143
-3.7567,1.8945
-3.7194,1.8709
-3.6820,1.8413
-3.6446,1.8141
-3.6073,1.7829
-3.5699,1.7568
-3.5326,1.7263
-3.4952,1.6970
-3.4578,1.6720
-3.4205,1.6467
-3.3831,1.6215
-3.3457,1.5968
-3.3084,1.5689
-3.2710,1.5438
-3.2336,1.5196
-3.1963,1.4966
-3.1589,1.4697
-3.1216,1.4496
-3.0842,1.4244
-3.0468,1.4001
-3.0095,1.3801
-2.9721,1.3584
-2.9347,1.3361
-2.8974,1.3156
-2.8600,1.2943
-2.8227,1.2738
-2.7853,1.2509
-2.7479,1.2285
-2.7106,1.2070
-2.6732,1.1874
-2.6358,1.1691
-2.5985,1.1476
-2.5611,1.1218
-2.5237,1.0974
-2.4864,1.0751
-2.4490,1.0536
-2.4117,1.0334
-2.3743,1.0155
-2.3369,0.9978
-2.2996,0.9724
-2.2622,0.9586
-2.2248,0.9378
-2.1875,0.9098
-2.1501,0.8914
-2.1128,0.8733
-2.0754,0.8536
-2.0380,0.8311
-2.0007,0.8032
-1.9633,0.7768
-1.9259,0.7554
-1.8886,0.7434
-1.8512,0.7187
-1.8138,0.7040
-1.7765,0.6913
-1.7391,0.6712
-1.7018,0.6490
-1.6644,0.6138
-1.6270,0.5919
-1.5897,0.5755
-1.5523,0.5515
-1.5149,0.5297
-1.4776,0.5075
-1.4402,0.4955
-1.4028,0.4910
-1.3655,0.4804
-1.3281,0.4441
-1.2908,0.4274
-1.2534,0.4158
-1.2160,0.3956
-1.1787,0.3695
-1.1413,0.3691
-1.1039,0.3576
-1.0666,0.3599
-1.0292,0.3361
-0.9919,0.3226
-0.9545,0.2915
-0.9171,0.2868
-0.8798,0.2642
-0.8424,0.2660
-0.8050,0.2539
-0.7677,0.2685
-0.7303,0.2389
-0.6929,0.2009
-0.6556,0.1714
-0.6182,0.1574
-0.5809,0.1675
-0.5435,0.1550
-0.5061,0.1352
-0.4688,0.1269
-0.4314,0.1228
-0.3940,0.1050
-0.3567,0.0718
-0.3193,0.0927
