-3.9809,0.5882
-3.9436,-1.3478
-3.9062,-1.4001
-3.8688,-1.4010
-3.8315,-1.3528
-3.7941,-1.3844
-3.7567,-1.3142
-3.7194,-1.3300
-3.6820,-1.2974
-3.6446,-1.2329
-3.6073,-1.2832
-3.5699,-1.2000
-3.5326,-1.1932
-3.4952,-1.2015
-3.4578,-1.2056
-3.4205,-1.2008
-3.3831,-1.1489
-3.3457,-1.1712
-3.3084,-1.1259
-3.2710,-1.0948
-3.2336,-1.0544
-3.1963,-1.0574
-3.1589,-1.0406
-3.1216,-1.0221
-3.0842,-1.0112
-3.0468,-0.9642
-3.0095,-0.9595
-2.9721,-0.9427
-2.9347,-0.9096
-2.8974,-0.8887
-2.8600,-0.8648
-2.8227,-0.8351
-2.7853,-0.8078
-2.7479,-0.7644
-2.7106,-0.7234
-2.6732,-0.6917
-2.6358,-0.6676
-2.5985,-0.6511
-2.5611,-0.6576
-2.5237,-0.6324
-2.4864,-0.6298
-2.4490,-0.6152
-2.4117,-0.5991
-2.3743,-0.5666
-2.3369,-0.5208
-2.2996,-0.5014
-2.2622,-0.4990
-2.2248,-0.4963
-2.1875,-0.4812
-2.1501,-0.4609
-2.1127,-0.4367
-2.0754,-0.4265
-2.0380,-0.4134
-2.0007,-0.4179
-1.9633,-0.4104
-1.9259,-0.3740
-1.8886,-0.3677
-1.8512,-0.3636
-1.8138,-0.3593
-1.7765,-0.3290
-1.7391,-0.3197
-1.7018,-0.2955
-1.6644,-0.2306
-1.6270,-0.1922
-1.5897,-0.1743
-1.5523,-0.1755
-1.5149,-0.1399
-1.4776,-0.1322
-1.4402,-0.1122
-1.4028,-0.0915
-1.3655,-0.0605
-1.3281,-0.0404
-1.2908,-0.0095
-1.2534,-0.0030
-1.2160,0.0407
-1.1787,0.0570
-1.1413,0.1149
-1.1039,0.1352
-1.0666,0.2062
-1.0292,0.2291
-0.9918,0.2550
-0.9545,0.2230
-0.9171,0.2139
-0.8798,0.2036
-0.8424,0.2351
-0.8050,0.2374
-0.7677,0.2569
-0.7303,0.2522
-0.6929,0.2457
-0.6556,0.2028
-0.6182,0.2332
-0.5809,0.2583
-0.5435,0.3426
-0.5061,0.3848
-0.4688,0.4320
-0.4314,0.5017
-0.3940,0.4701
-0.3567,0.4182
-0.3193,0.3941
