0.35,0.8335,0.0239,1.1854,0.0152,3.7275,0.0292
0.4,0.4808,0.0242,1.1249,0.0111,3.3187,0.1017
0.45,0.149,0.0084,1.0646,0.0189,3.3322,0.0297
0.5,0.069,0.0084,1.0075,0.0105,2.9433,0.0271
0.55,-0.1743,0.0035,0.9227,0.0105,2.7726,0.0258
0.6,-0.2898,0.0042,0.8683,0.0072,2.6737,0.0137
0.65,-0.4666,0.0027,0.8285,0.0059,2.5349,0.0211
0.7,-0.5599,0.0032,0.772,0.0045,2.508,0.0098
0.75,-0.6447,0.0041,0.7181,0.0054,2.4312,0.0093
0.8,-0.7005,0.0052,0.6682,0.0058,2.3768,0.0122
0.85,-0.7702,0.0051,0.607,0.0077,2.3153,0.0118
0.9,-0.8606,0.005,0.5829,0.0038,2.2006,0.0253
0.95,-0.9944,0.0041,0.5772,0.0118,2.1285,0.0821
